symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
ASHOKLEY,2026-01-09,2026-01-12,187.76,183.47608259348004,1065,stop,NIFTY AUTO,-4562.372037943744,-2.281592142373212,3,heikin_ashi_trend,183.4761,initial
NATIONALUM,2026-01-09,2026-01-16,348.05,361.7374514600502,574,stop,NIFTY METAL,7856.597138068797,3.932610676641346,7,heikin_ashi_trend,361.7375,trailing
HINDALCO,2026-01-13,2026-01-16,936.3,934.8413812948949,213,stop,NIFTY METAL,-310.68578418738537,-0.1557854005238779,3,heikin_ashi_trend,934.8414,trailing
INDUSTOWER,2026-01-14,2026-01-19,438.4,426.60685429764834,467,stop,NIFTY MS IT TELCM,-5507.399042998215,-2.690042359113054,5,heikin_ashi_trend,426.6069,trailing
MCX,2026-01-13,2026-01-20,2293.0,2373.3570744757267,87,stop,NIFTY MS FIN SERV,6991.06547938822,3.5044515689370614,7,heikin_ashi_trend,2373.3571,trailing
SHRIRAMFIN,2026-01-16,2026-01-20,995.45,986.2591687256327,203,stop,NIFTY FINSEREXBNK,-1865.7387486965788,-0.9232840699550326,4,heikin_ashi_trend,986.2592,trailing
SBIN,2026-01-22,2026-01-23,1048.35,1032.7862321575392,191,stop,NIFTY PSU BANK,-2972.6796579099973,-1.4845965414661877,1,heikin_ashi_trend,1032.7862,initial
HINDALCO,2026-01-22,2026-01-30,944.45,999.8443388924188,212,stop,NIFTY METAL,11743.59984519278,5.865248440088799,8,heikin_ashi_trend,999.8443,trailing
MCX,2026-01-27,2026-01-30,2418.0,2587.696271616305,83,stop,NIFTY MS FIN SERV,14084.790544153297,7.018042664032453,3,heikin_ashi_trend,2587.6963,trailing
BANKINDIA,2026-01-28,2026-01-30,162.05,157.0572823418188,1272,stop,NIFTY PSU BANK,-6350.736861206513,-3.0809735625925483,2,heikin_ashi_trend,157.0573,initial
UNIONBANK,2026-01-28,2026-01-30,176.71,171.53812406930982,1087,stop,NIFTY PSU BANK,-5621.829136660238,-2.9267590576029567,2,heikin_ashi_trend,171.5381,trailing
ASHOKLEY,2026-01-22,2026-02-01,190.28,191.02153604473904,1053,stop,NIFTY AUTO,780.8374551102045,0.3897078225452155,10,heikin_ashi_trend,191.0215,trailing
SBIN,2026-02-09,2026-02-25,1146.0,1203.3770513354818,177,stop,NIFTY PSU BANK,10155.738086380285,5.0067235022235534,16,heikin_ashi_trend,1203.3771,trailing
TORNTPHARM,2026-02-23,2026-02-27,4307.6,4323.928741811182,47,stop,NIFTY PHARMA,767.4508651255219,0.37906820064959046,4,heikin_ashi_trend,4323.9287,trailing
AXISBANK,2026-02-23,2026-03-02,1386.7,1369.1,148,stop,NIFTY PVT BANK,-2604.80000000002,-1.269200259609149,7,heikin_ashi_trend,1376.0911,trailing
BAJAJ-AUTO,2026-02-25,2026-03-02,10097.0,9725.5,20,stop,NIFTY AUTO,-7430.0,-3.679310686342474,5,heikin_ashi_trend,9900.0963,trailing
ONGC,2026-02-19,2026-03-06,274.65,274.7262575552327,746,stop,NIFTY OIL AND GAS,56.88813620359474,0.027765357812747915,15,heikin_ashi_trend,274.7263,trailing
BHARATFORG,2026-03-05,2026-03-09,1898.4,1868.1318501847259,107,stop,NIFTY AUTO,-3238.6920302343424,-1.5944031718960305,4,heikin_ashi_trend,1868.1319,trailing
LUPIN,2026-03-05,2026-03-09,2332.9,2297.233554515644,87,stop,NIFTY MIDSML HLTH,-3102.9807571389933,-1.5288458778497271,4,heikin_ashi_trend,2297.2336,trailing
LUPIN,2026-03-10,2026-03-13,2337.4,2309.217954772004,86,stop,NIFTY MIDSML HLTH,-2423.6558896076767,-1.2057005744843141,3,heikin_ashi_trend,2309.218,trailing
TORNTPHARM,2026-03-10,2026-03-16,4427.8,4350.593972572032,45,stop,NIFTY PHARMA,-3474.2712342585764,-1.7436656449697052,6,heikin_ashi_trend,4350.594,trailing
COALINDIA,2026-03-20,2026-03-23,468.15,455.25173038173347,428,stop,NIFTY ENERGY,-5520.459396618066,-2.7551574534372514,3,heikin_ashi_trend,455.2517,initial
ONGC,2026-04-28,2026-05-04,301.3,294.46879041219694,665,stop,NIFTY OIL AND GAS,-4542.754375889043,-2.267245133688378,6,heikin_ashi_trend,294.4688,trailing
GLENMARK,2026-04-23,2026-05-08,2335.0,2348.131586264632,85,stop,NIFTY MIDSML HLTH,1116.1848324937205,0.5623805680784688,15,heikin_ashi_trend,2348.1316,trailing
ADANIPOWER,2026-05-04,2026-05-11,227.3,222.22103949653624,878,stop,NIFTY COMMODITIES,-4459.327322041196,-2.2344744845859132,7,heikin_ashi_trend,222.221,trailing
GVT&D,2026-05-05,2026-05-11,4578.9,4589.971226745928,43,stop,NIFTY ENERGY,476.0627500749242,0.24178791294695579,6,heikin_ashi_trend,4589.9712,trailing
CGPOWER,2026-05-07,2026-05-12,859.1,845.9399911084646,234,stop,NIFTY ENERGY,-3079.4420806192898,-1.5318366769334735,5,heikin_ashi_trend,845.94,trailing
BHEL,2026-05-14,2026-05-15,413.15,397.94148955347754,477,stop,NIFTY ENERGY,-7254.459482991203,-3.681111084720423,1,heikin_ashi_trend,397.9415,initial
ADANIGREEN,2026-05-14,2026-05-18,1414.9,1359.9373166460525,139,stop,NIFTY COMMODITIES,-7639.812986198712,-3.884563103678529,4,heikin_ashi_trend,1359.9373,initial
DIVISLAB,2026-05-19,2026-05-25,6912.0,6750.0,28,stop,NIFTY PHARMA,-4536.0,-2.34375,6,heikin_ashi_trend,6767.8674,trailing
BSE,2026-05-14,2026-05-27,4037.6,4284.667553254243,48,stop,NIFTY MS FIN SERV,11859.242556203673,6.1191686460829064,13,heikin_ashi_trend,4284.6676,trailing
