symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
MANAPPURAM,2026-01-07,2026-01-08,319.9,311.5627431240342,625,stop,NIFTY MS FIN SERV,-5210.785547478594,-2.6062072134935166,1,heikin_ashi_trend,311.5627,initial
NMDC,2026-01-07,2026-01-08,83.62,81.721503654312,2391,stop,NIFTY METAL,-4539.304762540014,-2.27038548874432,1,heikin_ashi_trend,81.7215,initial
ASHOKLEY,2026-01-09,2026-01-12,187.76,183.47608259348004,1054,stop,NIFTY AUTO,-4515.248946472025,-2.281592142373212,3,heikin_ashi_trend,183.4761,initial
ICICIBANK,2026-01-13,2026-01-14,1437.0,1415.7709901445435,135,stop,NIFTY PVT BANK,-2865.9163304866306,-1.4773145341305916,1,heikin_ashi_trend,1415.771,initial
NATIONALUM,2026-01-09,2026-01-16,348.05,361.7374514600502,569,stop,NIFTY METAL,7788.159880768547,3.932610676641346,7,heikin_ashi_trend,361.7375,trailing
HINDALCO,2026-01-13,2026-01-16,936.3,934.8413812948949,211,stop,NIFTY METAL,-307.7685467771752,-0.1557854005238779,3,heikin_ashi_trend,934.8414,trailing
UNIONBANK,2026-01-13,2026-01-19,161.42,169.59732005936687,1227,stop,NIFTY PSU BANK,10033.571712843159,5.065865480960774,6,heikin_ashi_trend,169.5973,trailing
INDUSTOWER,2026-01-14,2026-01-19,438.4,426.60685429764834,437,stop,NIFTY MS IT TELCM,-5153.604671927666,-2.690042359113054,5,heikin_ashi_trend,426.6069,trailing
MCX,2026-01-13,2026-01-20,2293.0,2373.3570744757267,86,stop,NIFTY MS FIN SERV,6910.708404912494,3.5044515689370614,7,heikin_ashi_trend,2373.3571,trailing
SHRIRAMFIN,2026-01-16,2026-01-20,995.45,986.2591687256327,203,stop,NIFTY FINSEREXBNK,-1865.7387486965788,-0.9232840699550326,4,heikin_ashi_trend,986.2592,trailing
SBIN,2026-01-22,2026-01-23,1048.35,1032.7862321575392,190,stop,NIFTY PSU BANK,-2957.115890067537,-1.4845965414661877,1,heikin_ashi_trend,1032.7862,initial
INDIANB,2026-01-22,2026-01-27,878.05,852.8247497639173,227,stop,NIFTY PSU BANK,-5726.131803590753,-2.8728717312320073,5,heikin_ashi_trend,852.8247,initial
HINDALCO,2026-01-22,2026-01-30,944.45,999.8443388924188,211,stop,NIFTY METAL,11688.20550630036,5.865248440088799,8,heikin_ashi_trend,999.8443,trailing
MCX,2026-01-27,2026-01-30,2418.0,2587.696271616305,82,stop,NIFTY MS FIN SERV,13915.094272536993,7.018042664032453,3,heikin_ashi_trend,2587.6963,trailing
BANKINDIA,2026-01-28,2026-01-30,162.05,157.0572823418188,1262,stop,NIFTY PSU BANK,-6300.8096846247,-3.0809735625925483,2,heikin_ashi_trend,157.0573,initial
UNIONBANK,2026-01-28,2026-01-30,176.71,171.53812406930982,1072,stop,NIFTY PSU BANK,-5544.250997699885,-2.9267590576029567,2,heikin_ashi_trend,171.5381,trailing
ASHOKLEY,2026-01-22,2026-02-01,190.28,191.02153604473904,1051,stop,NIFTY AUTO,779.3543830207263,0.3897078225452155,10,heikin_ashi_trend,191.0215,trailing
OIL,2026-02-04,2026-02-09,507.1,488.29429763852596,395,stop,NIFTY OIL AND GAS,-7428.252432782254,-3.7084800555066133,5,heikin_ashi_trend,488.2943,trailing
AXISBANK,2026-02-03,2026-02-13,1356.2,1324.350459804981,148,stop,NIFTY PVT BANK,-4713.7319488628145,-2.3484397725275774,10,heikin_ashi_trend,1324.3505,trailing
FEDERALBNK,2026-02-11,2026-02-17,290.5,283.2539255797646,697,stop,NIFTY MS FIN SERV,-5050.513870904076,-2.4943457556748427,6,heikin_ashi_trend,283.2539,trailing
MOTHERSON,2026-02-09,2026-02-19,124.41,129.6726526635926,1601,stop,NIFTY AUTO,8425.506914411759,4.23008814692758,10,heikin_ashi_trend,129.6727,trailing
SBIN,2026-02-09,2026-02-25,1146.0,1203.3770513354818,173,stop,NIFTY PSU BANK,9926.229881038358,5.0067235022235534,16,heikin_ashi_trend,1203.3771,trailing
ONGC,2026-02-19,2026-03-06,274.65,274.7262575552327,733,stop,NIFTY OIL AND GAS,55.89678798556963,0.027765357812747915,15,heikin_ashi_trend,274.7263,trailing
BHARATFORG,2026-03-05,2026-03-09,1898.4,1868.1318501847259,106,stop,NIFTY AUTO,-3208.423880419068,-1.5944031718960305,4,heikin_ashi_trend,1868.1319,trailing
LUPIN,2026-03-05,2026-03-09,2332.9,2297.233554515644,86,stop,NIFTY MIDSML HLTH,-3067.314311654637,-1.5288458778497271,4,heikin_ashi_trend,2297.2336,trailing
APOLLOHOSP,2026-03-05,2026-03-09,7775.0,7588.0,25,stop,NIFTY HEALTHCARE,-4675.0,-2.4051446945337673,4,heikin_ashi_trend,7629.2129,trailing
LUPIN,2026-03-10,2026-03-13,2337.4,2309.217954772004,85,stop,NIFTY MIDSML HLTH,-2395.4738443796805,-1.2057005744843141,3,heikin_ashi_trend,2309.218,trailing
GLENMARK,2026-03-10,2026-03-13,2225.8,2211.5346963064626,89,stop,NIFTY MIDSML HLTH,-1269.6120287248455,-0.6409068062511292,3,heikin_ashi_trend,2211.5347,trailing
TORNTPHARM,2026-03-10,2026-03-16,4427.8,4350.593972572032,45,stop,NIFTY PHARMA,-3474.2712342585764,-1.7436656449697052,6,heikin_ashi_trend,4350.594,trailing
COALINDIA,2026-03-20,2026-03-23,468.15,455.25173038173347,422,stop,NIFTY ENERGY,-5443.069778908468,-2.7551574534372514,3,heikin_ashi_trend,455.2517,initial
ADANIPOWER,2026-04-01,2026-04-02,157.11,151.06435300981542,1252,stop,NIFTY COMMODITIES,-7569.150031711111,-3.8480344918748632,1,heikin_ashi_trend,151.0644,initial
HINDZINC,2026-04-27,2026-04-29,628.0,606.6430753983846,311,stop,NIFTY METAL,-6642.003551102403,-3.4007841722317633,2,heikin_ashi_trend,606.6431,trailing
NMDC,2026-04-24,2026-05-04,89.29,89.24508786564964,2186,stop,NIFTY METAL,-98.17792568990689,-0.050299176111956445,10,heikin_ashi_trend,89.2451,trailing
ADANIPOWER,2026-05-04,2026-05-11,227.3,222.22103949653624,853,stop,NIFTY COMMODITIES,-4332.353309454601,-2.2344744845859132,7,heikin_ashi_trend,222.221,trailing
GVT&D,2026-05-05,2026-05-11,4578.9,4589.971226745928,42,stop,NIFTY ENERGY,464.99152332899575,0.24178791294695579,6,heikin_ashi_trend,4589.9712,trailing
NAM-INDIA,2026-05-05,2026-05-11,1052.8,1065.8041876282325,185,stop,NIFTY CAPITAL MKT,2405.774711223023,1.2352001926512646,6,heikin_ashi_trend,1065.8042,trailing
ADANIGREEN,2026-05-04,2026-05-12,1290.7,1339.280244368124,150,stop,NIFTY COMMODITIES,7287.036655218582,3.7638680071375052,8,heikin_ashi_trend,1339.2802,trailing
CGPOWER,2026-05-07,2026-05-12,859.1,845.9399911084646,226,stop,NIFTY ENERGY,-2974.1620094870063,-1.5318366769334735,5,heikin_ashi_trend,845.94,trailing
HINDZINC,2026-05-12,2026-05-15,641.9,648.8243981246803,302,stop,NIFTY METAL,2091.168233653466,1.0787347133011993,3,heikin_ashi_trend,648.8244,trailing
DIVISLAB,2026-05-13,2026-05-15,6796.0,6783.074314290829,28,stop,NIFTY PHARMA,-361.9191998567985,-0.19019549307197625,2,heikin_ashi_trend,6783.0743,trailing
BHEL,2026-05-14,2026-05-15,413.15,397.94148955347754,476,stop,NIFTY ENERGY,-7239.250972544681,-3.681111084720423,1,heikin_ashi_trend,397.9415,initial
ADANIGREEN,2026-05-14,2026-05-18,1414.9,1359.9373166460525,139,stop,NIFTY COMMODITIES,-7639.812986198712,-3.884563103678529,4,heikin_ashi_trend,1359.9373,initial
DIVISLAB,2026-05-19,2026-05-25,6912.0,6750.0,27,stop,NIFTY PHARMA,-4374.0,-2.34375,6,heikin_ashi_trend,6767.8674,trailing
BSE,2026-05-14,2026-05-27,4037.6,4284.667553254243,48,stop,NIFTY MS FIN SERV,11859.242556203673,6.1191686460829064,13,heikin_ashi_trend,4284.6676,trailing
ADANIPOWER,2026-05-25,2026-06-01,233.38,240.06760620911027,828,stop,NIFTY COMMODITIES,5537.337941143304,2.8655438379939557,7,heikin_ashi_trend,240.0676,trailing
BIOCON,2026-05-26,2026-06-01,436.15,425.155163943407,452,stop,NIFTY MIDSML HLTH,-4969.66589758003,-2.5208841124826242,6,heikin_ashi_trend,425.1552,trailing
SAIL,2026-05-19,2026-06-04,199.05,199.71449124929433,971,stop,NIFTY METAL,645.2210030647798,0.33383132343347555,16,heikin_ashi_trend,199.7145,trailing
GVT&D,2026-06-04,2026-06-08,5086.5,4858.581754181457,38,stop,NIFTY ENERGY,-8660.893341104644,-4.480846275799532,4,heikin_ashi_trend,4858.5818,trailing
CGPOWER,2026-06-04,2026-06-08,937.9,908.3099271204446,206,stop,NIFTY ENERGY,-6095.555013188402,-3.1549283377284687,4,heikin_ashi_trend,908.3099,trailing
ADANIGREEN,2026-06-05,2026-06-10,1525.7,1477.5931238074381,126,stop,NIFTY COMMODITIES,-6061.4664002628015,-3.1531019330511834,5,heikin_ashi_trend,1477.5931,trailing
ADANIENSOL,2026-06-05,2026-06-11,1579.0,1514.8389022778754,122,stop,NIFTY COMMODITIES,-7827.653922099204,-4.063400742376477,6,heikin_ashi_trend,1514.8389,trailing
ADANIENT,2026-07-01,2026-07-07,3143.6,3123.222701989202,59,stop,NIFTY METAL,-1202.2605826370736,-0.6482153585315564,6,heikin_ashi_trend,3123.2227,trailing
