,equity
2021-08-23,1000000.0
2021-08-24,1002499.7665891268
2021-08-25,1008306.2665891268
2021-08-26,1009580.2665891268
2021-08-27,1010707.2665891268
2021-08-30,1008428.7665891268
2021-08-31,1007742.7665891268
2021-09-01,1005635.7665891268
2021-09-02,1008575.7665891268
2021-09-03,1010045.7665891268
2021-09-06,1013230.7665891268
2021-09-07,1009751.7665891268
2021-09-08,1008306.2665891268
2021-09-09,1010903.2665891268
2021-09-13,1014970.2665891268
2021-09-14,1013892.2665891268
2021-09-15,1015460.2665891268
2021-09-16,1014312.9593303918
2021-09-17,1014680.9593303918
2021-09-20,1009034.8093303918
2021-09-21,1008387.8093303918
2021-09-22,1009890.2361303918
2021-09-23,1025875.3361303918
2021-09-24,1030491.1079065969
2021-09-27,1035734.1275065967
2021-09-28,1035440.1275065967
2021-09-29,1033382.1275065967
2021-09-30,1034411.1275065967
2021-10-01,1032377.6275065967
2021-10-04,1038055.3899065967
2021-10-05,1042285.2899065968
2021-10-06,1037621.1899065968
2021-10-07,1039743.7899065968
2021-10-08,1061973.7449065968
2021-10-11,1063524.679906597
2021-10-12,1069080.2799065968
2021-10-13,1068974.0799065968
2021-10-14,1074033.679906597
2021-10-18,1073996.5799065968
2021-10-19,1089521.9929392163
2021-10-20,1089521.9929392163
2021-10-21,1089521.9929392163
2021-10-22,1089521.9929392163
2021-10-25,1093537.1404392163
2021-10-26,1106013.358448674
2021-10-27,1102913.871198674
2021-10-28,1076680.671198674
2021-10-29,1086972.496198674
2021-11-01,1059879.989498674
2021-11-02,1076268.5534860305
2021-11-03,1087976.6784860305
2021-11-04,1091975.3284860307
2021-11-08,1112916.7206352623
2021-11-09,1123435.8286731923
2021-11-10,1118596.4786731922
2021-11-11,1120641.4286731924
2021-11-12,1127232.6487731922
2021-11-15,1100441.8987731922
2021-11-16,1095541.338473192
2021-11-17,1090776.988473192
2021-11-18,1088063.8384731922
2021-11-22,1091674.877225717
2021-11-23,1097243.987725717
2021-11-24,1108197.7981681423
2021-11-25,1106643.592645035
2021-11-26,1076803.492645035
2021-11-29,1066961.7926450348
2021-11-30,1066766.206685205
2021-12-01,1075817.806685205
2021-12-02,1095097.6909852051
2021-12-03,1095075.490985205
2021-12-06,1091697.990985205
2021-12-07,1086403.590985205
2021-12-08,1087929.990985205
2021-12-09,1083772.813985205
2021-12-10,1091376.313985205
2021-12-13,1097514.744985205
2021-12-14,1102549.9449852048
2021-12-15,1100485.9449852048
2021-12-16,1100452.3449852047
2021-12-17,1099151.544985205
2021-12-20,1095234.744985205
2021-12-21,1093748.9441529624
2021-12-22,1097981.0933987414
2021-12-23,1100829.9813987417
2021-12-24,1093902.1313987416
2021-12-27,1101050.3313987416
2021-12-28,1104874.9813987417
2021-12-29,1112438.2836614044
2021-12-30,1112408.4836614043
2021-12-31,1113673.6336614045
2022-01-03,1105874.0836614044
2022-01-04,1107539.6836614045
2022-01-05,1107573.2836614044
2022-01-06,1105869.2836614044
2022-01-07,1103248.4836614043
2022-01-10,1105006.7700614044
2022-01-11,1091967.9700614046
2022-01-12,1099750.4882114045
2022-01-13,1099704.0882114046
2022-01-14,1106789.6147114045
2022-01-17,1109262.3352114046
2022-01-18,1105199.5852114046
2022-01-19,1105486.8352114046
2022-01-20,1109304.3352114046
2022-01-21,1098368.3352114046
2022-01-24,1092910.7352114045
2022-01-25,1092857.9352114045
2022-01-27,1095263.2876614046
2022-01-28,1094605.8376614046
2022-01-31,1100747.5876614046
2022-02-01,1097944.6876614045
2022-02-02,1100785.6876614047
2022-02-03,1097399.5876614046
2022-02-04,1090243.1156614046
2022-02-07,1094121.1656614044
2022-02-08,1083846.3656614046
2022-02-09,1083550.7656614045
2022-02-10,1098523.1528509697
2022-02-11,1090366.1028509696
2022-02-14,1061583.3028509696
2022-02-15,1057422.0028509698
2022-02-16,1062636.7528509698
2022-02-17,1063311.6028509696
2022-02-18,1061716.5028509698
2022-02-21,1057974.1528509697
2022-02-22,1053986.4028509697
2022-02-23,1053986.4028509697
2022-02-24,1052575.3528509696
2022-02-25,1055152.0528509696
2022-02-28,1056010.9528509697
2022-03-02,1073618.4028509697
2022-03-03,1080491.9955009697
2022-03-04,1080491.9955009697
2022-03-07,1080491.9955009697
2022-03-08,1080491.9955009697
2022-03-09,1080491.9955009697
2022-03-10,1080491.9955009697
2022-03-11,1080491.9955009697
2022-03-14,1080491.9955009697
2022-03-15,1080491.9955009697
2022-03-16,1080491.9955009697
2022-03-17,1080491.9955009697
2022-03-21,1080491.9955009697
2022-03-22,1080491.9955009697
2022-03-23,1080491.9955009697
2022-03-24,1080491.9955009697
2022-03-25,1080491.9955009697
2022-03-28,1080491.9955009697
2022-03-29,1080491.9955009697
2022-03-30,1080491.9955009697
2022-03-31,1080491.9955009697
2022-04-01,1080491.9955009697
2022-04-04,1080491.9955009697
2022-04-05,1080491.9955009697
2022-04-06,1080491.9955009697
2022-04-07,1080491.9955009697
2022-04-08,1080491.9955009697
2022-04-11,1080491.9955009697
2022-04-12,1080491.9955009697
2022-04-13,1080491.9955009697
2022-04-18,1087920.0095009697
2022-04-19,1085582.5095009697
2022-04-20,1085582.5095009697
2022-04-21,1087397.3458009697
2022-04-22,1081814.4458009698
2022-04-25,1086366.6458009696
2022-04-26,1098758.3113894893
2022-04-27,1100122.8947894895
2022-04-28,1101413.7447894893
2022-04-29,1100345.8947894895
2022-05-02,1097887.2947894894
2022-05-04,1095961.1239894894
2022-05-05,1093144.3239894893
2022-05-06,1086906.3739894894
2022-05-09,1085079.6239894894
2022-05-10,1075437.5239894893
2022-05-11,1058260.7239894895
2022-05-12,1052105.6239894894
2022-05-13,1052487.2239894895
2022-05-16,1051469.6239894894
2022-05-17,1054776.8239894893
2022-05-18,1044473.6239894894
2022-05-19,1039830.8239894895
2022-05-20,1039830.8239894895
