symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
SHRIRAMFIN,2026-01-16,2026-01-20,995.45,986.2591687256327,200,stop,NIFTY FINSEREXBNK,-1838.1662548734766,-0.9232840699550326,4,heikin_ashi_trend,986.2592,trailing
SBIN,2026-01-22,2026-01-23,1048.35,1032.7862321575392,190,stop,NIFTY PSU BANK,-2957.115890067537,-1.4845965414661877,1,heikin_ashi_trend,1032.7862,initial
INDIANB,2026-01-22,2026-01-27,878.05,852.8247497639173,227,stop,NIFTY PSU BANK,-5726.131803590753,-2.8728717312320073,5,heikin_ashi_trend,852.8247,initial
HINDALCO,2026-01-22,2026-01-30,944.45,999.8443388924188,211,stop,NIFTY METAL,11688.20550630036,5.865248440088799,8,heikin_ashi_trend,999.8443,trailing
MCX,2026-01-27,2026-01-30,2418.0,2587.696271616305,82,stop,NIFTY MS FIN SERV,13915.094272536993,7.018042664032453,3,heikin_ashi_trend,2587.6963,trailing
BANKINDIA,2026-01-28,2026-01-30,162.05,157.0572823418188,1259,stop,NIFTY PSU BANK,-6285.831531650157,-3.0809735625925483,2,heikin_ashi_trend,157.0573,initial
UNIONBANK,2026-01-28,2026-01-30,176.71,171.53812406930982,1065,stop,NIFTY PSU BANK,-5508.047866185054,-2.9267590576029567,2,heikin_ashi_trend,171.5381,trailing
ASHOKLEY,2026-01-22,2026-02-01,190.28,191.02153604473904,1049,stop,NIFTY AUTO,777.8713109312483,0.3897078225452155,10,heikin_ashi_trend,191.0215,trailing
OIL,2026-02-04,2026-02-09,507.1,488.29429763852596,394,stop,NIFTY OIL AND GAS,-7409.44673042078,-3.7084800555066133,5,heikin_ashi_trend,488.2943,trailing
PETRONET,2026-02-09,2026-02-12,300.0,296.65403407015197,662,stop,NIFTY OIL AND GAS,-2215.029445559399,-1.1153219766160127,3,heikin_ashi_trend,296.654,trailing
AXISBANK,2026-02-03,2026-02-13,1356.2,1324.350459804981,148,stop,NIFTY PVT BANK,-4713.7319488628145,-2.3484397725275774,10,heikin_ashi_trend,1324.3505,trailing
FEDERALBNK,2026-02-11,2026-02-17,290.5,283.2539255797646,689,stop,NIFTY MS FIN SERV,-4992.545275542192,-2.4943457556748427,6,heikin_ashi_trend,283.2539,trailing
