symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
ASHOKLEY,2026-01-09,2026-01-12,187.76,183.47608259348004,1065,stop,NIFTY AUTO,-4562.372037943744,-2.281592142373212,3,heikin_ashi_trend,183.4761,initial
NATIONALUM,2026-01-09,2026-01-16,348.05,361.7374514600502,574,stop,NIFTY METAL,7856.597138068797,3.932610676641346,7,heikin_ashi_trend,361.7375,trailing
MCX,2026-01-13,2026-01-20,2293.0,2373.3570744757267,87,stop,NIFTY MS FIN SERV,6991.06547938822,3.5044515689370614,7,heikin_ashi_trend,2373.3571,trailing
SHRIRAMFIN,2026-01-16,2026-01-20,995.45,986.2591687256327,204,stop,NIFTY FINSEREXBNK,-1874.9295799709462,-0.9232840699550326,4,heikin_ashi_trend,986.2592,trailing
SBIN,2026-01-22,2026-01-23,1048.35,1032.7862321575392,192,stop,NIFTY PSU BANK,-2988.2434257524583,-1.4845965414661877,1,heikin_ashi_trend,1032.7862,initial
MCX,2026-01-27,2026-01-30,2418.0,2587.696271616305,83,stop,NIFTY MS FIN SERV,14084.790544153297,7.018042664032453,3,heikin_ashi_trend,2587.6963,trailing
BANKINDIA,2026-01-28,2026-01-30,162.05,157.0572823418188,1265,stop,NIFTY PSU BANK,-6315.787837599244,-3.0809735625925483,2,heikin_ashi_trend,157.0573,initial
ASHOKLEY,2026-01-22,2026-02-01,190.28,191.02153604473904,1059,stop,NIFTY AUTO,785.2866713786386,0.3897078225452155,10,heikin_ashi_trend,191.0215,trailing
SBIN,2026-02-09,2026-02-25,1146.0,1203.3770513354818,176,stop,NIFTY PSU BANK,10098.361035044803,5.0067235022235534,16,heikin_ashi_trend,1203.3771,trailing
TORNTPHARM,2026-02-23,2026-02-27,4307.6,4323.928741811182,47,stop,NIFTY PHARMA,767.4508651255219,0.37906820064959046,4,heikin_ashi_trend,4323.9287,trailing
LUPIN,2026-03-05,2026-03-09,2332.9,2297.233554515644,87,stop,NIFTY MIDSML HLTH,-3102.9807571389933,-1.5288458778497271,4,heikin_ashi_trend,2297.2336,trailing
LUPIN,2026-03-10,2026-03-13,2337.4,2309.217954772004,87,stop,NIFTY MIDSML HLTH,-2451.837934835673,-1.2057005744843141,3,heikin_ashi_trend,2309.218,trailing
TORNTPHARM,2026-03-10,2026-03-16,4427.8,4350.593972572032,46,stop,NIFTY PHARMA,-3551.477261686545,-1.7436656449697052,6,heikin_ashi_trend,4350.594,trailing
SONACOMS,2026-07-02,2026-07-23,662.3,714.5090868649484,306,stop,NIFTY AUTO,15975.980580674212,7.882996657851193,21,heikin_ashi_trend,714.5091,trailing
BHARATFORG,2026-07-17,2026-07-24,2190.5,2152.8658407254743,93,stop,NIFTY AUTO,-3499.97681253089,-1.71806250967933,7,heikin_ashi_trend,2152.8658,trailing
SONACOMS,2026-07-30,2026-08-06,763.75,792.835698460481,269,stop,NIFTY AUTO,7824.052885869392,3.8082747575097997,7,heikin_ashi_trend,792.8357,trailing
