symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
APOLLOHOSP,2021-09-16,2021-09-24,4841.806274603293,5162.718823809878,41,target,NIFTY HEALTHCARE,13157.414517469986,6.627951037402435,8,ha_ema21_touch,4681.35,n/a
PRESTIGE,2021-09-22,2021-09-27,428.22779999999995,496.68339999999984,294,target,NIFTY REALTY,20125.946399999968,15.985790740348914,5,ha_ema21_touch,394.0,n/a
PGEL,2021-10-08,2021-10-11,43.04299999999999,49.52899999999998,3215,target,NIFTY CONSR DURBL,20852.48999999997,15.068652277954575,3,ha_ema21_touch,39.8,n/a
OFSS,2021-08-24,2021-10-19,4042.484355323943,4431.453065971829,49,target,NIFTY MS IT TELCM,19059.46682174643,9.622021421941085,56,ha_ema21_touch,3848.0,n/a
BAJAJFINSV,2021-10-04,2021-10-19,1775.3735999999997,1916.120799999999,116,target,NIFTY FINSEREXBNK,16326.675199999923,7.9277510941921925,15,ha_ema21_touch,1705.0,n/a
BLUESTARCO,2021-10-25,2021-10-26,452.95249999999993,469.8574999999998,481,target,NIFTY CONSR DURBL,8131.304999999932,3.7321794227871186,1,ha_ema21_touch,444.5,n/a
JINDALSTEL,2021-10-26,2021-10-28,435.14765375107606,415.0,504,stop,NIFTY METAL,-10154.417490542335,-4.630072936714358,2,ha_ema21_touch,415.0,initial
GODREJPROP,2021-10-27,2021-10-28,2365.8635,2266.1,92,stop,NIFTY REALTY,-9178.242000000002,-4.216790190981012,1,ha_ema21_touch,2266.1,initial
CHOLAFIN,2021-10-27,2021-11-01,612.3617499999999,578.35,323,stop,NIFTY FINSEREXBNK,-10985.795249999965,-5.5541924360886235,5,ha_ema21_touch,578.35,initial
BAJAJHLDNG,2021-10-29,2021-11-03,4789.785,4909.355,45,target,NIFTY FINSEREXBNK,5380.649999999987,2.4963542204921474,5,ha_ema21_touch,4730.0,n/a
SHRIRAMFIN,2021-11-02,2021-11-09,298.2364933320141,339.0094799960423,523,target,NIFTY FINSEREXBNK,21324.272025286733,13.671360673704447,7,ha_ema21_touch,277.85,n/a
ADANIENSOL,2021-11-03,2021-11-12,1791.7899999999997,1945.3699999999992,120,target,NIFTY COMMODITIES,18429.599999999937,8.571316951205187,9,ha_ema21_touch,1715.0,n/a
MANAPPURAM,2021-10-26,2021-11-16,201.20099999999996,189.25,922,stop,NIFTY MS FIN SERV,-11018.821999999967,-5.939831312965627,21,ha_ema21_touch,189.25,initial
INFY,2021-11-12,2021-11-16,1704.6028999999999,1768.2086999999997,131,target,NIFTY IT,8332.359799999977,3.7314145130223464,4,ha_ema21_touch,1672.8,n/a
