symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
OBEROIRLTY,2021-01-01,2021-01-15,590.1,559.6,203,rebalance,NIFTY REALTY,-6191.5,-5.168615488900185,14
GODREJPROP,2021-01-01,2021-01-15,1427.25,1382.3,56,rebalance,NIFTY REALTY,-2517.2000000000025,-3.149413207216678,14
TATASTEEL,2021-01-01,2021-01-18,59.32,61.61,2022,rebalance,NIFTY METAL,4630.379999999998,3.8604180714767455,17
SAIL,2021-01-15,2021-01-18,70.15,65.95,1225,rebalance,NIFTY METAL,-5145.000000000004,-5.987170349251603,3
DIXON,2021-01-01,2021-01-22,2724.4,2818.5,29,rebalance,NIFTY CONSR DURBL,2728.8999999999974,3.4539715166642226,21
VEDL,2021-01-15,2021-01-22,74.2,69.3,1417,rebalance,NIFTY METAL,-6943.300000000008,-6.60377358490567,7
RVNL,2021-01-18,2021-01-22,31.25,28.95,2704,rebalance,,-6219.200000000002,-7.359999999999999,4
PERSISTENT,2021-01-01,2021-01-25,748.8,769.5,106,rebalance,NIFTY MS IT TELCM,2194.200000000005,2.7644230769230838,24
DLF,2021-01-01,2021-01-27,238.35,258.75,342,rebalance,NIFTY REALTY,6976.800000000002,8.558842039018245,26
MPHASIS,2021-01-25,2021-01-27,1466.7,1461.6,55,rebalance,NIFTY MS IT TELCM,-280.5000000000075,-0.3477193700143322,2
KPITTECH,2021-01-01,2021-01-28,143.9,132.95,833,rebalance,NIFTY MS IT TELCM,-9121.350000000015,-7.609451007644208,27
APLAPOLLO,2021-01-01,2021-01-29,429.9,453.3,279,rebalance,NIFTY METAL,6528.6000000000095,5.443126308443835,28
ADANIENT,2021-01-01,2021-01-29,476.2,491.2,170,rebalance,NIFTY METAL,2550.0,3.1499370012599837,28
ASHOKLEY,2021-01-22,2021-01-29,58.61937669376694,52.9,1476,rebalance,NIFTY AUTO,-8441.800000000003,-9.756802300450062,7
WIPRO,2021-01-22,2021-01-29,212.55,199.75,402,rebalance,NIFTY IT,-5145.600000000005,-6.0221124441308005,7
